selection_percent,type,team,points
47.67,bowl,rr,97
9.74,bowl,kkr,79
79.17,bowl,rr,74
94.6,bat,kkr,66
52.3,bowl,kkr,64
22.49,bowl,kkr,62
53.6,all,kkr,54
61.53,bowl,kkr,46
10.38,bowl,rr,46
73.97,all,rr,45
85.08,bat,kkr,43
53.17,wk,rr,38
21.24,bowl,rr,36
53.89,all,kkr,34
48.57,all,kkr,30
29.35,bowl,kkr,29
41.36,wk,kkr,21
85.5,wk,rr,21
9.02,all,rr,13
91.4,bat,rr,7
39.27,bat,rr,6
2.76,bowl,rr,5
90.0,bat,mi,96
63.55,all,mi,62
46.44,bowl,mi,58
26.15,wk,kxip,55
32.19,bowl,mi,54
47.34,bowl,mi,54
8.73,all,kxip,49
31.44,all,mi,41
80.03,bowl,kxip,41
48.75,bowl,kxip,39
59.42,wk,mi,35
67.93,bowl,mi,33
73.96,bat,mi,32
90.53,bat,kxip,32
12.74,all,mi,29
84.54,wk,kxip,22
48.4,all,kxip,13
22.17,all,kxip,13
21.13,bat,kxip,12
49.72,wk,mi,10
30.86,bat,kxip,10
48.74,bowl,kxip,3
3.48,bat,srh,77
33.6,all,csk,71
39.26,wk,csk,71
67.87,bowl,csk,54
53.6,bowl,srh,50
81.15,bat,srh,43
13.51,all,srh,41
5.77,bat,srh,41
58.98,bat,srh,38
83.63,bat,csk,38
53.73,bowl,srh,29
47.16,bowl,csk,29
22.14,bowl,csk,29
80.54,all,csk,25
56.38,bat,csk,19
71.2,bat,srh,12
77.94,bowl,srh,10
86.62,wk,srk,8
58.46,bat,csk,5
43.56,all,csk,4
30.45,bowl,srh,4
11.52,bat,csk,1
76.29,bat,rcb,99
56.73,bat,rcb,95
70.28,bowl,rcb,89
11.2,all,rr,58
40.79,bowl,rcb,58
84.87,bowl,rr,52
38.86,bowl,rcb,35
74.15,all,rr,34
43.69,wk,rr,31
16.85,bowl,rr,29
21.2,bat,rr,22
75.25,bat,rcb,22
13.78,all,rr,21
80.75,wk,rcb,17
87.56,bat,rr,10
81.3,wk,rr,9
34.0,all,rcb,6
62.3,all,rcb,4
8.13,bat,rcb,4
22.61,bowl,rcb,2
16.67,bowl,rr,0
62.96,bowl,rr,-2
